fold_id,final_score,label,regime_adjusted_score,tp_level,sl_level,tp_sl_outcome,confidence,ev,ticker,date,sector,strategy,tp_pct,sl_pct,max_holding_days,rr_ratio,risk_benefit_score,sim_entry_date,sim_actual_entry_date,entry_price,tp_price,sl_price,sim_outcome,sim_days_to_outcome,sim_outcome_date
2024Q4,0.472,0,0.429,0.06,0.07,SL,0.472,-0.008,CINF,2024-12-31,Financials,conservative,0.06,0.07,91,0.871,-0.009,2025-02-14,2025-02-14,136.97,144.76,128.02,TP,14,2025-02-28
2024Q4,0.445,0,0.415,0.06,0.06,SL,0.445,-0.005,CL,2024-12-31,Consumer products,conservative,0.06,0.06,91,1.033,-0.007,2025-02-14,2025-02-14,86.04,90.94,81.29,TP,11,2025-02-25
2024Q4,0.61,0,0.58,0.05,0.08,SL,0.61,-0.002,CLX,2024-12-31,Consumer products,conservative,0.05,0.08,91,0.597,-0.003,2025-02-14,2025-02-14,147.92,155.31,135.54,TP,7,2025-02-21
2024Q4,0.494,0,0.513,0.05,0.06,SL,0.494,-0.005,CMCSA,2024-12-31,Telecommunication,conservative,0.05,0.06,91,0.845,-0.006,2025-02-14,2025-02-14,33.17,34.85,31.17,TP,21,2025-03-07
2024Q4,0.608,1,0.565,0.05,0.04,TP,0.608,0.013,CME,2024-12-31,Financials,conservative,0.05,0.04,91,1.153,0.017,2025-02-14,2025-02-14,245.48,257.28,235.25,TP,24,2025-03-10
2024Q4,0.289,0,0.262,0.11,0.07,SL,0.289,-0.017,CMG,2024-12-31,"Hotels, Restaurants & Leisure",conservative,0.11,0.07,91,1.592,-0.024,2025-02-14,2025-02-14,57.08,63.25,53.21,SL,6,2025-02-20
2024Q4,0.556,1,0.505,0.05,0.07,TP,0.556,-0.002,CMI,2024-12-31,Machinery,conservative,0.05,0.07,91,0.73,-0.003,2025-02-14,2025-02-14,373.78,391.84,349.05,SL,18,2025-03-04
2024Q4,0.839,1,0.815,0.07,0.1,TP,0.839,0.044,CNC,2024-12-31,Health Care,conservative,0.07,0.1,91,0.725,0.052,2025-02-14,2025-02-14,56.86,60.88,51.31,TP,11,2025-02-25
2024Q4,0.767,1,0.715,0.06,0.04,TP,0.767,0.033,CNP,2024-12-31,Utilities,conservative,0.06,0.04,91,1.268,0.043,2025-02-14,2025-02-14,33.41,35.3,31.92,TP,28,2025-03-14
2024Q4,0.318,1,0.275,0.1,0.07,TP,0.318,-0.017,COF,2024-12-31,Financials,conservative,0.1,0.07,91,1.401,-0.023,2025-02-14,2025-02-14,202.16,222.74,187.46,SL,18,2025-03-04
2024Q4,0.521,1,0.498,0.07,0.07,TP,0.521,0.002,COO,2024-12-31,Health Care,conservative,0.07,0.07,91,0.977,0.003,2025-02-14,2025-02-14,88.1,93.97,82.1,SL,24,2025-03-10
2024Q4,0.617,1,0.586,0.07,0.06,TP,0.617,0.023,COP,2024-12-31,Energy,conservative,0.07,0.06,91,1.233,0.03,2025-02-14,2025-02-14,96.26,103.48,90.41,SL,19,2025-03-05
