report_date,total_assets,total_liabilities,total_equity,long_term_debt,short_term_debt,cash,operating_income,net_income,interest_expense,income_tax,eps_diluted,shares_diluted,operating_cash_flow,total_debt,bf_pe,eps,ebitda,roe,roa,roi,roic,debt_equity,net_income_ttm,interest_expense_ttm,eps_diluted_ttm,eps_ttm,bf_beta,bf_52w_high,bf_52w_low,bf_10d_avg_vol,bf_market_cap,bf_pe_ttm,bf_pb_annual,bf_ps_ttm
2023-12-31,29169468000.0,27288671000.0,1880797000.0,5227512000.0,,4149838000.0,,-325984000.0,-429670000.0,-109315000.0,-1.31,-486633000.0,22117000.0,5227512000.0,7.4406,-1.31,,-0.17332226710272294,-0.011175520924824546,,,2.7794131955761308,563686000.0,1030090000.0,2.4099999999999997,2.4099999999999997,1.0341897,34.97,17.77,4.22622,4278.9434,5.7185,2.2413,1.90601
2024-03-31,28277282000.0,26163543000.0,2113739000.0,4976882000.0,,3584013000.0,,285278000.0,276542000.0,97554000.0,1.27,223845000.0,-76711000.0,4976882000.0,6.2407,1.27,,0.13496368283879892,0.010088593380368029,,,2.3545395150489252,734509000.0,1074102000.0,3.21,3.21,1.0341897,34.97,17.77,4.22622,4278.9434,5.7185,2.2413,1.90601
2024-06-30,28768844000.0,26485606000.0,2283238000.0,5403012000.0,,5262448000.0,,532643000.0,,184108000.0,2.39,223156000.0,-220513000.0,5403012000.0,6.0879,2.39,,0.2332840466039896,0.01851457778421684,,,2.3663814284800795,891906000.0,,4.039999999999999,4.039999999999999,1.0341897,34.97,17.77,4.22622,4278.9434,5.7185,2.2413,1.90601
2024-09-30,30012767000.0,27879017000.0,2133750000.0,6036527000.0,,4489539000.0,,482843000.0,,169698000.0,2.18,221553000.0,-333934000.0,6036527000.0,7.2999,2.18,,0.22628845928529584,0.01608792018410032,,,2.8290694786174577,974780000.0,,4.529999999999999,4.529999999999999,1.0341897,34.97,17.77,4.22622,4278.9434,5.7185,2.2413,1.90601
2024-12-31,30072110000.0,27912190000.0,2159920000.0,6440345000.0,,4700366000.0,,-710735000.0,,-261049000.0,-3.1599999999999997,-448620000.0,301763000.0,6440345000.0,9.6266,-3.1599999999999997,,-0.3290561687469906,-0.023634357549237484,,,2.9817516389495906,590029000.0,,2.6800000000000006,2.6800000000000006,1.0341897,34.97,17.77,4.22622,4278.9434,5.7185,2.2413,1.90601
2025-03-31,28899184000.0,26498328000.0,2400856000.0,6147473000.0,,3695076000.0,,300584000.0,,98579000.0,1.4,214986000.0,-146051000.0,6147473000.0,9.9341,1.4,,0.1251986791377742,0.010401124128625915,,,2.560533826268631,605335000.0,,2.81,2.81,1.0341897,34.97,17.77,4.22622,4278.9434,5.7185,2.2413,1.90601
2025-06-30,29602917000.0,27227930000.0,2374987000.0,6410978000.0,,4092465000.0,,375812000.0,,114941000.0,1.72,214098000.0,-284780000.0,6410978000.0,15.4589,1.72,,0.15823749772104015,0.01269510028352949,,,2.6993739334152145,448504000.0,,2.1399999999999997,2.1399999999999997,1.0341897,34.97,17.77,4.22622,4278.9434,5.7185,2.2413,1.90601
2025-09-30,29605422000.0,27264124000.0,2341298000.0,6838995000.0,,3539341000.0,,511662000.0,,164904000.0,2.35,212922000.0,-334117000.0,6838995000.0,9.0179,2.35,,0.2185377512815541,0.0172827126058193,,,2.9210271396464695,477323000.0,,2.31,2.31,1.0341897,34.97,17.77,4.22622,4278.9434,5.7185,2.2413,1.90601
2025-12-31,29746295000.0,27294937000.0,2451358000.0,5362494000.0,,4241265000.0,,-443211000.0,,-130708000.0,-2.0100000000000007,-431092000.0,366367000.0,5362494000.0,7.3763,-2.0100000000000007,,-0.18080223288479283,-0.014899704316117353,,,2.187560527674864,744847000.0,,3.459999999999999,3.459999999999999,1.0341897,34.97,17.77,4.22622,4278.9434,5.7185,2.2413,1.90601
2026-03-31,29409591000.0,26971959000.0,2437632000.0,5670293000.0,498889000.0,5157453000.0,,307954000.0,,92399000.0,1.54,197875000.0,-75964000.0,6169182000.0,5.3959,1.54,,0.1263332611321151,0.010471209885237778,,,2.5308094084751103,752217000.0,,3.599999999999999,3.599999999999999,1.0341897,34.97,17.77,4.22622,4278.9434,5.7185,2.2413,1.90601
