ticker,strategy,selected,selected_strategy,reject_reason,selection_score,rule_adjusted_rbs,risk_benefit_score,certainty_component,tp_quality_component,tp_floor_penalty_component,tp_pct,sl_pct,tp_feasibility,confidence,historical_tp_prob
MTCH,balanced,True,balanced,selected,,,0.5567796615854421,,,,0.55,0.17773530728110787,1.0,0.6755995469226692,0.6629629629629629
MTD,balanced,True,balanced,selected,,,0.3551677685650215,,,,0.4299976061035473,0.09134226764800091,1.0,0.5158365309665,0.6703703703703704
MU,balanced,False,conservative,lower_selection_score,,,0.509985238098233,,,,0.55,0.29857978981575484,1.0,0.7633483177104848,0.5592592592592592
NDAQ,balanced,True,balanced,selected,,,0.505098651933822,,,,0.3421159998391001,0.08090095330205052,1.0,0.788266940114093,0.5888888888888889
NDSN,balanced,False,aggressive,lower_selection_score,,,0.18747310361934993,,,,0.31646822444074874,0.14443773746632368,1.0,0.57617666241277,0.5925925925925926
NEE,balanced,False,aggressive,lower_selection_score,,,0.12312621993848195,,,,0.2732180879233893,0.08,1.0,0.41452592029035834,0.6925925925925925
NEM,balanced,False,conservative,lower_selection_score,,,-0.11849375499947758,,,,0.31106834510350184,0.2272345442677932,1.0,0.25813248173865533,0.44074074074074077
NFLX,balanced,False,conservative,lower_selection_score,,,0.7532191423895885,,,,0.55,0.19170565258601074,1.0,0.849833365823633,0.6148148148148148
NI,balanced,True,balanced,selected,,,0.0019265400735096986,,,,0.24819470443443314,0.08,1.0,0.24706371451508055,0.6481481481481481
NKE,balanced,True,balanced,selected,,,0.36018581124017823,,,,0.3633354785678967,0.10142189606275327,1.0,0.6270647946352729,0.6925925925925925
NOC,balanced,False,aggressive,lower_selection_score,,,0.581533452312043,,,,0.38623480827326295,0.08,1.0,0.7952360475383317,0.6444444444444444
NRG,balanced,False,aggressive,lower_selection_score,,,0.4232891451941242,,,,0.3973061553324218,0.2334849889240515,1.0,0.8409199206469995,0.5333333333333333
NSC,balanced,False,conservative,lower_selection_score,,,0.015232494488128356,,,,0.34402062472308786,0.13259828646978195,1.0,0.29759175949594,0.5666666666666667
