Company Name,Ticker,Market Cap (mil),Sector,Industry
"PLIANT THERAPT","PLRX","78.04","Medical","Medical - Biomedical and Genetics"
"Polyrizon Ltd.","PLRZ","14.58","Medical","Medical - Biomedical and Genetics"
"Pulse Biosciences","PLSE","1291.11","Medical","Medical - Instruments"
"Panacea Life Sciences","PLSH","1.73","Medical","Medical - Products"
"Playtika","PLTK","1150.73","Consumer Discretionary","Gaming"
"Palantir Technologies","PLTR","307081.91","Computer and Technology","Internet - Software"
"Platinum Analytics Cayman Limited","PLTS","316.03","Computer and Technology","Internet - Software"
"Plug Power","PLUG","2658.02","Computer and Technology","Electronics - Miscellaneous Products"
"PLURI INC","PLUR","36.89","Medical","Medical - Biomedical and Genetics"
"ePlus","PLUS","2051.76","Computer and Technology","Business - Software Services"
"Plutus Financial Group Limited","PLUT","45.24","Finance","Financial - Miscellaneous Services"
"Protalix BioTherapeutics","PLX","241.26","Medical","Medical - Biomedical and Genetics"
"Plexus","PLXS","5464.17","Computer and Technology","Electronics - Manufacturing Services"
"Polaryx Therapeutics, Inc.","PLYX","131.68","Medical","Medical - Biomedical and Genetics"
"Philip Morris International","PM","291099.09","Consumer Staples","Tobacco"
"Powell Max Limited","PMAX","4.09","Finance","Financial - Miscellaneous Services"
"Nuvilex","PMCB","7.14","Medical","Medical - Drugs"
"Primech Holdings Ltd.","PMEC","26.02","Business Services","Business - Services"
"Prime Meridian Holding Co","PMHG","197.47","Finance","Banks - Southeast"
"Flag Ship Acquisition Corp","PMI","84.02","Medical","Medical Info Systems"
"PUTNAM MANAGED","PMM","294.84","Finance","Financial - Investment Funds"
"Promis Neurosciences","PMN","38.66","Medical","Medical - Biomedical and Genetics"
"Perfect Moment Ltd.","PMNT","12.06","Consumer Discretionary","Textile - Apparel"
"PUTNAM MUN OPPO","PMO","340.86","Finance","Financial - Investment Funds"
"Pop Mart International Group Limited - Unsponsored ADR","PMRTY","40246.3","Consumer Discretionary","Leisure and Recreation Products"
"PennyMac Mortgage Investment Trust","PMT","1055.51","Finance","REIT and Equity Trust"
"Perimeter Acquisition Corp. I","PMTR","320.58","Unclassified","Unclassified"
"CPI Card Group","PMTS","142.8","Finance","Financial - Miscellaneous Services"
"PMV Pharmaceuticals","PMVP","56.4","Medical","Medical - Drugs"
"Skycorp Solar Group Limited","PN","12.83","Oils-Energy","Solar"
"Pioneer Bankshares","PNBI","33.78","Finance","Banks - Northeast"
"Patriot National Bancorp","PNBK","150.64","Finance","Banks - Northeast"
"The PNC Financial Services Group","PNC","87898.55","Finance","Financial - Investment Bank"
"Pinnacle Financial Partners","PNFP","7305.28","Finance","Banks - Southeast"
"Ping An Insurance Co. of China","PNGAY","164247.95","Finance","Insurance - Multi line"
"PennantPark Investment","PNNT","325.17","Finance","Financial - SBIC & Commercial Industry"
"Power Metallic Mines Inc.","PNPNF","220.42","Basic Materials","Mining - Miscellaneous"
"Pentair","PNR","16843.66","Business Services","Waste Removal Services"
"PrimeEnergy","PNRG","300.38","Oils-Energy","Oil and Gas - Exploration and Production - United States"
"The Pennant Group","PNTG","1106.31","Medical","Medical - Outpatient and Home Healthcare"
"Pinnacle West Capital","PNW","11975.02","Utilities","Utility - Electric Power"
"Precision Optics","POCI","34.05","Medical","Medical - Instruments"
"PodcastOne, Inc.","PODC","70.07","Computer and Technology","Internet - Content"
"Insulet","PODD","17264.58","Medical","Medical - Products"
"POET Technologies","POET","806.65","Computer and Technology","Electronics - Semiconductors"
"Polar Power","POLA","4.04","Utilities","Utility - Electric Power"
"Andretti Acquisition Corp. II","POLE","312.81","Unclassified","Unclassified"
"Pomdoctor Limited - Sponsored ADR","POM","25.1","Medical","Medical Services"
"Pony AI Inc. - Sponsored ADR","PONY","5116.69","Transportation","Transportation - Equipment and Leasing"
"Pool Corp.","POOL","8092.82","Consumer Discretionary","Leisure and Recreation Products"
"Portland General Electric","POR","6177.93","Utilities","Utility - Electric Power"
"POLA ORBIS","PORBF","1925.01","Consumer Staples","Cosmetics"
"Positron","POSC","78.69","Medical","Medical - Instruments"
"Post Holdings","POST","5062.19","Consumer Staples","Food - Miscellaneous"
"Power Integrations","POWI","2613.13","Computer and Technology","Semiconductors - Power"
"Powell Industries","POWL","6789.48","Industrial Products","Manufacturing - Electronics"
"Outdoor Holding Company","POWW","248.65","Aerospace","Aerospace - Defense Equipment"
"Pinnacle Bankshares","PPBN","103.02","Finance","Banks - Southeast"
"Purple Biotech","PPBT","6.5","Medical","Medical - Biomedical and Genetics"
"Pilgrim's Pride","PPC","9931.86","Consumer Staples","Food - Meat Products"
"Propanc Biopharma","PPCB","3.33","Medical","Medical - Biomedical and Genetics"
"PT Bank Mandiri Persero TBK","PPERY","29656.67","Finance","Banks - Foreign"
"PPG Industries","PPG","28059.76","Basic Materials","Chemical - Specialty"
"Public Policy Holding Company, Inc.","PPHC","351.55","Conglomerates","Diversified Operations"
"Perma-Pipe International Holdings, Inc.","PPIH","273.82","Industrial Products","Steel - Pipe and Tube"
"PPL","PPL","28639.81","Utilities","Utility - Electric Power"
"abrdn Physical Platinum Shares ETF","PPLT","3092.91","Finance","Financial - Investment Funds"
"Pioneer Power Solutions","PPSI","43.16","Industrial Products","Manufacturing - Electronics"
"Putnam Premier Income Trust","PPT","347.54","Finance","Financial - Investment Funds"
"Perpetua Resources","PPTA","3934.49","Basic Materials","Mining - Miscellaneous"
"Papaya Growth Opportunity Corp. I","PPYA","98.92","Unclassified","Unclassified"
"Permian Resources Corporation","PR","14753.21","Oils-Energy","Oil and Gas - Exploration and Production - United States"
"ProAssurance","PRA","1258.09","Finance","Insurance - Property and Casualty"
"PRA Group","PRAA","422.15","Finance","Financial - Miscellaneous Services"
"Praxis Precision Medicines","PRAX","9544.76","Medical","Medical - Biomedical and Genetics"
"Porch Group","PRCH","910.31","Computer and Technology","Internet - Software"
"PROCEPT BIOROBO","PRCT","1523.25","Medical","Medical - Instruments"
"Perdoceo Education","PRDO","2034.3","Consumer Discretionary","Schools"
"Prenetics Global","PRE","267.57","Medical","Medical - Biomedical and Genetics"
"PRF TECHNOLOGS","PRFX","1.16","Medical","Medical - Drugs"
"Prog Holdings","PRG","1466.35","Finance","Financial - Consumer Loans"
"Perrigo","PRGO","2010.69","Medical","Medical - Products"
"Progress Software","PRGS","1725.4","Computer and Technology","Computer - Software"
"Primerica","PRI","8070.61","Finance","Insurance - Life Insurance"
"Primoris Services","PRIM","8208.59","Construction","Building Products - Heavy Construction"
"Park National","PRK","3009.32","Finance","Banks - Midwest"
"ParkerVision","PRKR","38.07","Computer and Technology","Semiconductors - Radio Frequency"
"UTD PARKS&RESRT","PRKS","1885.81","Consumer Discretionary","Leisure and Recreation Services"
"Proto Labs","PRLB","1504.49","Industrial Products","Rubber - Plastics"
"Prelude Therapeutics","PRLD","179.79","Medical","Medical - Drugs"
"Perimeter Solutions, SA","PRM","3902.23","Basic Materials","Chemical - Specialty"
"Primo Brands Corporation","PRMB","7168.73","Consumer Staples","Beverages - Soft drinks"
"Prime Medicine, Inc.","PRME","691.36","Medical","Medical - Biomedical and Genetics"
"Paramount Resources","PRMRF","2731.34","Oils-Energy","Oil and Gas - Exploration and Production - Canadian"
"Pernod Ricard","PRNDY","25100.78","Consumer Staples","Beverages - Alcohol"
"Union Acquisition II","PROCF","55.75","Medical","Medical - Drugs"
"Profound Medical","PROF","259.5","Medical","Medical - Drugs"
"PROKIDNEY CP","PROK","673.87","Medical","Medical - Drugs"
"Prairie Operating Co.","PROP","106.17","Oils-Energy","Oil and Gas - Integrated - United States"
"Prosus","PROSY","26090.3","Retail-Wholesale","Internet - Commerce"
"Provident Financial","PROV","102.28","Finance","Financial - Savings and Loan"
"Purple Innovation","PRPL","71.27","Consumer Staples","Consumer Products - Staples"
"Precipio, Inc.","PRPO","41.44","Medical","Medical Info Systems"
"ProQR Therapeutics","PRQR","158.87","Medical","Medical - Biomedical and Genetics"
"Premier Foods","PRRFY","2254.52","Consumer Staples","Food - Miscellaneous"
"Peraso ","PRSO","7.72","Business Services","Technology Services"
"Pursuit Attractions and Hospitality, Inc.","PRSU","1034.89","Consumer Discretionary","Leisure and Recreation Services"
"PermRock Royalty Trust","PRT","41","Oils-Energy","Oil and Gas - Integrated - United States"
"Prothena","PRTA","482.86","Medical","Medical - Biomedical and Genetics"
"PureTech Health","PRTC","438.17","Medical","Medical - Biomedical and Genetics"
"Priority Technology","PRTH","458.48","Business Services","Technology Services"
"CarParts.com","PRTS","47.55","Auto-Tires-Trucks","Automotive - Original Equipment"
"Prudential Financial","PRU","34935.72","Finance","Insurance - Multi line"
"Privia Health Group","PRVA","2648.22","Medical","Medical Info Systems"
"Prysmian S.P.A. - Unsponsored ADR","PRYMY","33122.63","Computer and Technology","Electronics - Miscellaneous Products"
"Public Storage","PSA","53373.27","Finance","REIT and Equity Trust - Other"
"Palmer Square Capital BDC Inc.","PSBD","343.75","Finance","Financial - SBIC & Commercial Industry"
"PSB","PSBQ","114.6","Finance","Banks - Northeast"
"Prospect Capital","PSEC","1379.92","Finance","Financial - Investment Management"
"Paysafe Limited","PSFE","359.93","Business Services","Financial Transaction Services"
"Performance Shipping","PSHG","26.6","Transportation","Transportation - Shipping"
"Pershing Square","PSHZF","10437.64","Finance","Financial - Investment Funds"
"PS International Group Ltd.","PSIG","48.03","Transportation","Transportation - Services"
"Power Solutions International","PSIX","2201.56","Auto-Tires-Trucks","Automotive - Internal Combustion Engines"
"Paramount Skydance Corporation","PSKY","11134.62","Consumer Discretionary","Media Conglomerates"
"Persimmon","PSMMY","6616.29","Construction","Building Products - Home Builders"
"PriceSmart","PSMT","4783.17","Retail-Wholesale","Retail - Discount Stores"
"Parsons","PSN","6846.21","Business Services","Technology Services"
"Personalis","PSNL","736.19","Medical","Medical - Generic Drugs"
"Polestar Automotive Holding UK PLC","PSNY","1375.29","Auto-Tires-Trucks","Automotive - Foreign"
"Pearson","PSO","8037.88","Consumer Discretionary","Media Conglomerates"
"Invesco Global Listed Private Equity ETF","PSP","251.05","Finance","Financial - Investment Funds"
"PSQ Holdings, Inc.","PSQH","29.95","Retail-Wholesale","Internet - Commerce"
"Pure Storage","PSTG","22359.22","Computer and Technology","Computer- Storage Devices"
"Postal Realty Trust","PSTL","505.61","Finance","REIT and Equity Trust - Other"
"Plus Therapeutics","PSTV","38.89","Medical","Medical - Drugs"
"Phillips 66","PSX","61858.85","Oils-Energy","Oil and Gas - Refining and Marketing"
"PTC","PTC","18274.23","Computer and Technology","Computer - Software"
"PTC Therapeutics","PTCT","5709.8","Medical","Medical - Biomedical and Genetics"
"PattersonUTI Energy","PTEN","3158.06","Oils-Energy","Oil and Gas - Drilling"
"Protagonist Therapeutics","PTGX","5463.24","Medical","Medical - Biomedical and Genetics"
"PANTHEON RESRCS","PTHRF","122.64","Oils-Energy","Oil and Gas - Exploration and Production - International"
"Pelthos Therapeutics Inc.","PTHS","75.19","Medical","Medical - Biomedical and Genetics"
"PTL Limited","PTLE","10.85","Transportation","Transportation - Services"
"Portillo's Inc.","PTLO","401.75","Retail-Wholesale","Retail - Restaurants"
"Palatin Technologies","PTN","40.76","Medical","Medical - Biomedical and Genetics"
"Pitanium Limited","PTNM","207.93","Consumer Staples","Cosmetics"
"Peloton Interactive","PTON","1718.98","Consumer Discretionary","Leisure and Recreation Products"
"Pattern Group Inc.","PTRN","1481.87","Retail-Wholesale","Internet - Commerce"
"Pimco Corporate & Income Opportunity Fund","PTY","2353.57","Finance","Financial - Investment Funds"
"Publicis Groupe","PUBGY","21274.04","Business Services","Advertising and Marketing"
"PubMatic","PUBM","297.05","Computer and Technology","Internet - Software"
"Goal Acquisitions","PUCK","73.22","Unclassified","Unclassified"
"Prudential","PUK","38590.72","Finance","Insurance - Multi line"
"ProPetro Holding","PUMP","1417.92","Oils-Energy","Oil and Gas - Field Services"
"PURE Bioscience","PURE","5.85","Medical","Medical - Products"
"Hyperliquid Strategies Inc","PURR","489.67","Finance","Financial - Miscellaneous Services"
"Pacific Valley Bancorp","PVBK","57.58","Finance","Banks - Southwest"
"Provectus Biopharmaceuticals","PVCT","19.54","Medical","Medical - Biomedical and Genetics"
"PVH","PVH","3162.68","Consumer Discretionary","Textile - Apparel"
"PERMIANVILLE ROYALTY TRUST","PVL","56.76","Oils-Energy","Oil and Gas - Royalty Trust - United States"
"Palvella Therapeutics, Inc.","PVLA","1425.23","Medical","Medical - Biomedical and Genetics"
"Pervasip","PVSP","1.09","Utilities","Diversified Communication Services"
"PACIFIC WEST BC","PWBK","32.3","Finance","Banks - West"
"Perella Weinberg Partners","PWP","1712.24","Finance","Financial - Miscellaneous Services"
"Quanta Services","PWR","85015.26","Construction","Engineering - R and D Services"
"Phoenix Education Partners, Inc.","PXED","1043.47","Consumer Discretionary","Schools"
"PAX GLOBAL TECH","PXGYF","647.64","Business Services","Financial Transaction Services"
"PhoneX","PXHI","55.27","Computer and Technology","Internet - Delivery Services"
"Pixelworks","PXLW","37.26","Computer and Technology","Electronics - Semiconductors"
"Pyxis Tankers","PXS","40.79","Transportation","Transportation - Shipping"
"PolyPid","PYPD","67.56","Medical","Medical - Drugs"
"PayPal","PYPL","43289.64","Business Services","Financial Transaction Services"
"PAYPOINT","PYPTF","481.12","Business Services","Financial Transaction Services"
"PyroGenesis Inc.","PYRGF","65.93","Industrial Products","Manufacturing - General Industrial "
"Pyxis Oncology","PYXS","92.15","Medical","Medical - Drugs"
"PYXUS INTERNATIONAL","PYYX","73.82","Consumer Staples","Agriculture - Operations"
"Paramount Gold Nevada","PZG","223.78","Basic Materials","Mining - Non Ferrous"
"Papa John's International","PZZA","1132.55","Retail-Wholesale","Retail - Restaurants"
"Qnity Electronics, Inc.","Q","24463.21","Computer and Technology","Electronics - Semiconductors"
"Qualstar","QBAK","25.41","Computer and Technology","Computer- Storage Devices"
"Quebecor Inc.","QBCRF","9010.82","Computer and Technology","Wireless Non-US "
"QBE Insurance Group Limited - Sponsored ADR","QBIEY","23561.99","Finance","Insurance - Multi line"
"D-WAVE QUANTUM","QBTS","6901.01","Computer and Technology","Internet - Software"
"Q/C Technologies, Inc.","QCLS","15.63","Business Services","Technology Services"
"Qualcomm","QCOM","154480.27","Computer and Technology","Electronics - Semiconductors"
"QCR Holdings","QCRH","1491.06","Finance","Banks - Midwest"
"QuidelOrtho","QDEL","1493.03","Medical","Medical - Products"
"QDM International Inc.","QDMI","440.45","Medical","Medical Services"
"Q.E.P. Co.","QEPC","124.91","Consumer Discretionary","Tools - Handheld"
"Quetta Acquisition Corporation","QETA","43.36","Unclassified","Unclassified"
"Qfin Holdings Inc. - Sponsored ADR","QFIN","2091.52","Finance","Financial - Miscellaneous Services"
"QIAGEN","QGEN","10242.05","Medical","Medical - Biomedical and Genetics"
"Quipt Home Medical","QIPT","160.07","Medical","Medical - Products"
"Qualys","QLYS","3097.74","Computer and Technology","Security"
"QuoteMedia","QMCI","14.48","Computer and Technology","Internet - Services"
"Quantum","QMCO","78.9","Computer and Technology","Computer- Storage Devices"
"QMMM Holdings Limited","QMMM","6830.44","Business Services","Advertising and Marketing"
"QNB","QNBC","139.62","Finance","Banks - Northeast"
"Quince Therapeutics, Inc.","QNCX","7.75","Medical","Medical - Biomedical and Genetics"
"Quoin Pharmaceuticals","QNRX","7.33","Medical","Medical - Drugs"
"QuinStreet","QNST","628.64","Computer and Technology","Internet - Delivery Services"
"QUANTUM BIOPHAR","QNTM","14.54","Medical","Medical - Biomedical and Genetics"
"Quaint Oak Bancorp","QNTO","40.89","Finance","Banks - Northeast"
"Invesco QQQ","QQQ","399826.5","Finance","Financial - Investment Funds"
"Nuveen NASDAQ 100 Dynamic Overwrite Fund","QQQX","1362.76","Finance","Financial - Investment Funds"
"Quest Resource","QRHC","37.57","Business Services","Waste Removal Services"
"Qorvo","QRVO","7711.26","Computer and Technology","Semiconductors - Radio Frequency"
"QuantumScape","QS","4230.22","Auto-Tires-Trucks","Automotive - Original Equipment"
"Quartzsea Acquisition Corporation","QSEA","117.64","Unclassified","Unclassified"
"Save The World Air","QSEP","49.32","Industrial Products","Pollution Control"
"QuantumSi Incorporated","QSI","200.45","Computer and Technology","Electronics - Semiconductors"
"Restaurant Brands International","QSR","23842.27","Retail-Wholesale","Retail - Restaurants"
"QT Imaging Holdings, Inc.","QTI","68.09","Medical","Medical - Instruments"
"WiLAN","QTRHF","83.3","Business Services","Technology Services"
"Quanterix","QTRX","266.25","Medical","Medical - Products"
"Q32 Bio Inc.","QTTB","55.37","Medical","Medical - Biomedical and Genetics"
"Q2 Holdings","QTWO","2951.73","Computer and Technology","Internet - Software"
"Quad Graphics","QUAD","374.49","Business Services","Advertising and Marketing"
"Quantum Computing Inc.","QUBT","1817.64","Computer and Technology","Internet - Software"
"QuickLogic","QUIK","136.04","Computer and Technology","Electronics - Semiconductors"
"Quantumsphere Acquisition Corporation","QUMS","114.86","Unclassified","Unclassified"
"uniQure","QURE","1496.87","Medical","Medical - Biomedical and Genetics"
"QVC Group Inc.","QVCGA","25.9","Retail-Wholesale","Internet - Commerce"
"QVC Group Inc.","QVCGB","161.37","Retail-Wholesale","Internet - Commerce"
"QXO INC","QXO","16958.12","Business Services","Technology Services"
"Ryder System","R","8810.4","Transportation","Transportation - Equipment and Leasing"
"Real Asset Acquisition Corp.","RAAQ","242.42","Unclassified","Unclassified"
"Rithm Acquisition Corp.","RAC","246.54","Unclassified","Unclassified"
"Ferrari","RACE","90629.69","Auto-Tires-Trucks","Automotive - Original Equipment"
"Radiopharm Theranostics Limited - Sponsored ADR","RADX","59.66","Medical","Medical - Biomedical and Genetics"
"Regency Affiliates","RAFI","16.76","Construction","Building Products - Miscellaneous"
"Raiffeisen Bank International","RAIFY","15973.31","Finance","Banks - Foreign"
"Freightcar America","RAIL","273.4","Transportation","Transportation - Equipment and Leasing"
"Rain Enhancement Technologies Holdco, Inc.","RAIN","20.64","Business Services","Technology Services"
"Ralliant Corporation","RAL","5087.54","Business Services","Technology Services"
"LiveRamp","RAMP","1631.15","Business Services","Technology Services"
"Rand Capital","RAND","34.01","Finance","Financial - SBIC & Commercial Industry"
"Range Capital Acquisition Corp.","RANG","146.44","Unclassified","Unclassified"
"Rani Therapeutics","RANI","159.18","Medical","Medical - Biomedical and Genetics"
"Randstad Holding","RANJY","5515.13","Business Services","Staffing Firms"
"Raphael Pharmaceutical Inc.","RAPH","28.25","Medical","Medical - Drugs"
"Rapport Therapeutics, Inc.","RAPP","1381.7","Medical","Medical - Biomedical and Genetics"
"Rapt Therapeutics","RAPT","1605.29","Medical","Medical - Biomedical and Genetics"
"Ultragenyx Pharmaceutical","RARE","2198.33","Medical","Medical - Biomedical and Genetics"
"Rave Restaurant Group","RAVE","42.63","Retail-Wholesale","Retail - Restaurants"
"Raytech Holding Limited","RAY","11.17","Retail-Wholesale","Retail - Consumer Electronics"
"RB Global, Inc.","RBA","18021.03","Business Services","Financial Transaction Services"
"RBB Bancorp","RBB","373.33","Finance","Banks - West"
"Ribbon Communications","RBBN","388.52","Computer and Technology","Communication - Network Software"
"RBC Bearings","RBC","18072.45","Industrial Products","Manufacturing - General Industrial "
"Republic Bancorp","RBCAA","1350.81","Finance","Banks - Southeast"
"Rubicon Technology","RBCN","26.63","Computer and Technology","Electronics - Semiconductors"
"Reckitt Benckiser Group","RBGLD","56158.02","Consumer Staples","Soap and Cleaning Materials"
"Rhinebeck Bancorp","RBKB","176.77","Finance","Banks - Northeast"
"Roblox","RBLX","44389.13","Consumer Discretionary","Gaming"
"Robin Energy Ltd.","RBNE","11.24","Transportation","Transportation - Shipping"
"D8","RBOT","13.16","Medical","Medical - Instruments"
"Rubrik, Inc.","RBRK","10215.23","Computer and Technology","Internet - Software"
"NatWest Group PLC","RBSPF","66363.51","Finance","Banks - Foreign"
"Ready Capital Corp","RC","269.13","Finance","REIT and Equity Trust"
"Red Cat","RCAT","1537.5","Business Services","Technology Services"
"Avita Medical","RCEL","165.1","Medical","Medical - Drugs"
"Rogers Communication","RCI","21052.58","Utilities","Diversified Communication Services"
"Rocket Pharmaceuticals","RCKT","459.94","Medical","Medical - Biomedical and Genetics"
"Rocky Brands","RCKY","250.96","Consumer Discretionary","Shoes and Retail Apparel "
"Royal Caribbean Cruises","RCL","85622.2","Consumer Discretionary","Leisure and Recreation Services"
"RCM Technologies","RCMT","135.69","Business Services","Staffing Firms"
"Recon Technology","RCON","10.23","Oils-Energy","Oil and Gas - Mechanical and and Equipment"
"Recruit Holdings Co.","RCRUY","62712.88","Business Services","Business - Information Services"
"PIMCO Strategic Income Fund, Inc.","RCS","265.46","Finance","Financial - Investment Funds"
"RedCloud Holdings plc","RCT","49.33","Computer and Technology","Internet - Software"
"Arcus Biosciences","RCUS","2179.99","Medical","Medical - Biomedical and Genetics"
"Rising Dragon Acquisition Corp.","RDAC","37.5","Unclassified","Unclassified"
"Republic Digital Acquisition Company","RDAG","382.88","Unclassified","Unclassified"
"Radcom","RDCM","182.76","Computer and Technology","Computer - Networking"
"Reddit Inc.","RDDT","27142.37","Computer and Technology","Internet - Software"
"Redeia Corporacion SA - Unsponsored ADR","RDEIY","10302.16","Oils-Energy","Alternative Energy - Other"
"Advanced Medical Isotope","RDGL","40.04","Finance","Financial - SBIC & Commercial Industry"
"Ridgetech Inc.","RDGT","28.34","Retail-Wholesale","Retail - Pharmacies and Drug Stores"
"Redhill Biopharma","RDHL","5.06","Medical","Medical - Drugs"
"Reading International","RDI","24.31","Consumer Discretionary","Leisure and Recreation Services"
"Radian Group","RDN","4679.6","Finance","Insurance - Multi line"
"RadNet","RDNT","5229.75","Medical","Medical - Outpatient and Home Healthcare"
"RideNow Group, Inc.","RDNW","241.41","Auto-Tires-Trucks","Automotive - Domestic"
"ALPS REIT Dividend Dogs ETF","RDOG","10.59","Finance","Financial - Investment Funds"
"Red Violet","RDVT","571","Computer and Technology","Internet - Software and Services"
"Redwire Corporation","RDW","1390.57","Aerospace","Aerospace - Defense"
"Radware","RDWR","953.83","Computer and Technology","Internet - Software"
"Dr. Reddys Laboratories","RDY","12335.7","Medical","Medical - Generic Drugs"
"Roadzen Inc.","RDZN","104.4","Finance","Insurance - Property and Casualty"
"The RealReal","REAL","1354.69","Consumer Discretionary","Consumer Products - Discretionary"
"The Real Brokerage","REAX","548.56","Business Services","Technology Services"
"Reborn Coffee, Inc.","REBN","10.7","Consumer Staples","Consumer Products - Staples"
"Rectitude Holdings Ltd.","RECT","21.32","Industrial Products","Security and Safety Services"
"REE Automotive","REE","12.98","Auto-Tires-Trucks","Automotive - Original Equipment"
"Reeds","REED","20.04","Consumer Staples","Beverages - Soft drinks"
"Rare Element Resources","REEMF","330.31","Basic Materials","Mining - Miscellaneous"
"Chicago Atlantic Real Estate Finance","REFI","255.07","Finance","Financial - Miscellaneous Services"
"Research Frontiers","REFR","37.01","Computer and Technology","Electronics - Miscellaneous Products"
"Regency Centers","REG","14133.19","Finance","REIT and Equity Trust - Retail"
"Regeneron Pharmaceuticals","REGN","81635.78","Medical","Medical - Biomedical and Genetics"
"Ring Energy","REI","269.39","Oils-Energy","Oil and Gas - Exploration and Production - United States"
"Rekor Systems","REKR","99.79","Computer and Technology","Internet - Software"
"Richardson Electronics","RELL","190.18","Computer and Technology","Electronics - Parts Distribution"
"RELX","RELX","56759.91","Computer and Technology","Internet - Content"
"Remitly Global","RELY","3410.5","Business Services","Financial Transaction Services"
"Remy Cointreau","REMYY","2697.86","Consumer Staples","Beverages - Alcohol"
"Cartesian Growth Corporation II","RENEF","112.18","Unclassified","Unclassified"
"Rent the Runway","RENT","214.7","Retail-Wholesale","Retail - Apparel and Shoes"
"RenX Enterprises Corp.","RENX","1.27","Finance","Real Estate - Development"
"Replimune Group","REPL","690.31","Medical","Medical - Biomedical and Genetics"
"Riley Exploration Permian","REPX","607","Oils-Energy","Oil and Gas - Exploration and Production - United States"
"Repsol","REPYY","24384.56","Oils-Energy","Oil and Gas - Integrated - International"
"RPC","RES","1325.65","Oils-Energy","Oil and Gas - Field Services"
"ReTo EcoSolutions","RETO","1.91","Construction","Building Products - Concrete and Aggregates"
"Revelation Biosciences","REVB","9.31","Medical","Medical - Biomedical and Genetics"
"REX American Resources","REX","1131.41","Basic Materials","Chemical - Specialty"
"Rexford Industrial Realty","REXR","8610.68","Finance","REIT and Equity Trust - Other"
"Reynolds Consumer Products","REYN","5254.38","Consumer Discretionary","Consumer Products - Discretionary"
"Resideo Technologies","REZI","5347.82","Industrial Products","Security and Safety Services"
"Regions Financial","RF","24938.37","Finance","Banks - Southeast"
"RF Acquisition Corp II","RFAI","90.53","Unclassified","Unclassified"
"Cohen & Steers Total Return Realty Fund, Inc.","RFI","317.98","Finance","Financial - Investment Funds"
"RF Industries","RFIL","107.35","Computer and Technology","Semiconductors - Radio Frequency"
"Rafael Holdings","RFL","65.75","Medical","Medical - Drugs"
"Reinsurance Group of America","RGA","14319.65","Finance","Insurance - Life Insurance"
"Regencell Bioscience","RGC","12792.43","Medical","Medical - Biomedical and Genetics"
"RGC Resources","RGCO","221.09","Oils-Energy","Oil and Gas - Refining and Marketing"
"Repligen","RGEN","7580.67","Medical","Medical - Biomedical and Genetics"
"Royal Gold","RGLD","24428.7","Basic Materials","Mining - Gold"
"Regentis Biomaterials Ltd.","RGNT","20.72","Medical","Medical - Biomedical and Genetics"
"REGENXBIO","RGNX","409.04","Medical","Medical - Biomedical and Genetics"
"Resources Connection","RGP","119.6","Business Services","Staffing Firms"
"Sturm, Ruger & Company","RGR","593.13","Consumer Discretionary","Leisure and Recreation Products"
"Regis","RGS","57.42","Retail-Wholesale","Retail - Miscellaneous"
"Rigetti Computing","RGTI","5438.83","Computer and Technology","Internet - Software"
"RH","RH","3575.27","Consumer Staples","Consumer Products - Staples"
"Adcare Health Systems","RHEP","5.47","Finance","REIT and Equity Trust - Other"
"Roche Holding","RHHBY","385927.19","Medical","Large Cap Pharmaceuticals"
"Robert Half Inc.","RHI","2386.99","Business Services","Staffing Firms"
"Resolute Holdings Management, Inc.","RHLD","1537.01","Finance","Financial - Miscellaneous Services"
"Ryman Hospitality Properties","RHP","6478.08","Finance","REIT and Equity Trust - Other"
"RCI Hospitality","RICK","191.33","Retail-Wholesale","Retail - Restaurants"
"Ricoh Co.","RICOY","5281.43","Computer and Technology","Office Automation and Equipment"
"Transocean","RIG","7212.63","Oils-Energy","Oil and Gas - Drilling"
"Rigel Pharmaceuticals","RIGL","626.4","Medical","Medical - Drugs"
"Rightscorp","RIHT","1.93","Business Services","Business - Services"
"CDN CRITCL MNRL","RIINF","10.1","Basic Materials","Mining - Miscellaneous"
"BRC Group Holdings, Inc.","RILY","217.59","Finance","Financial - Miscellaneous Services"
"Algorhythm Holdings, Inc.","RIME","5.93","Business Services","Technology Services"
"Rio Tinto","RIO","123076.59","Basic Materials","Mining - Miscellaneous"
"Riot Platforms, Inc.","RIOT","6134.82","Finance","Financial - Miscellaneous Services"
"RITHM CAP CP","RITM","5642.31","Finance","Financial - Miscellaneous Services"
"Reitar Logtech Holdings Limited","RITR","48.17","Conglomerates","Diversified Operations"
"Rivian Automotive","RIVN","18763.77","Auto-Tires-Trucks","Automotive - Domestic"
"Republic Airways Holdings Inc.","RJET","590.35","Transportation","Transportation - Airline"
"Raymond James Financial","RJF","30643.71","Finance","Financial - Investment Bank"
"Arcadia Biosciences","RKDA","3.23","Medical","Medical - Biomedical and Genetics"
"Rocket Lab Corporation","RKLB","37374.92","Aerospace","Aerospace - Defense Equipment"
"Rocket Companies","RKT","37271.04","Finance","Financial - Mortgage & Related Services"
"Rakuten","RKUNY","11631.05","Computer and Technology","Internet - Services"
"Ralph Lauren","RL","22648.49","Consumer Discretionary","Textile - Apparel"
"Relay Therapeutics","RLAY","1591.1","Medical","Medical - Drugs"
